priority_rank,name,slug,threadcount,palette,symmetric,thread_total,demand_score,category,sources_verifying,verified_by,colour_agreement,listed_house_of_tartan,listed_weddslist,primary_source,designer,tartan_date,stwr_ref,restriction_status,restrictions,origin_url
11,MacMugen (Personal),macmugen-personal,AW6 NB36 AW9 NB12 AW48 NB9,NB#003C64 NAVY BLUE; AW#FCF0C8 ANC WHITE;,no,120,85,Clan; Family,3,Scottish Register of Tartans; Scottish Tartans Authority; Weddslist,1/3,no,yes,Scottish Register of Tartans,"MacMugen, Bernard",01/03/2000,2657.0,weaver_note,Yes.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=2663
12,MacRobart Dress (Personal),macrobart-dress-personal,A/6 HG34 A6 HG34 K30 W66 B/16,A#5C8CA8 AZURE; K#101010 BLACK; B#2C2C80 BLUE; HG#285800 HUNTING GREEN; W#E0E0E0 WHITE;,yes,362,85,Name,3,Scottish Register of Tartans; Scottish Tartans Authority; Weddslist,3/3,no,yes,Scottish Register of Tartans,"Holder, Michael Owen",01/06/1997,2399.0,weaver_note,Yes.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=2761
13,McComb (Personal),mccomb-personal,B/6 R4 B36 K12 G36 Y4 WG/6,K#101010 BLACK; B#2C2C80 BLUE; G#006818 GREEN; R#C80000 RED; Y#E8C000 YELLOW; WG#408060 WTHRD GREEN;,yes,196,85,Name,3,Scottish Register of Tartans; Scottish Tartans Authority; Weddslist,1/3,no,yes,Scottish Register of Tartans,"Fraser, Donald",01/01/1997,2340.0,weaver_note,Yes.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=2878
14,Van Loo (Personal),van-loo-personal,LB/10 P4 B60 LB10 K50 B60 LB/10,K#101010 BLACK; B#2C2C80 BLUE; P#780078 PURPLE; LB#2888C4 LIGHT BLUE; AY#DC943C ANC YELLOW; LO#EC8048 LGT ORANGE;,yes,388,85,Name,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,yes,no,Scottish Register of Tartans,"Coulton, Jan",01/01/2005,,weaver_note,Yes. A Personal tartan for the Van Loo family.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=4440
15,Wilson's No.134,wilson-s-no-134,HG14 R42,R#C80000 RED; HG#285800 HUNTING GREEN; DG#003820 DARK GREEN; XR#C80000 BASIC RED;,no,56,82,Fashion,2,Scottish Register of Tartans; Weddslist,2/2,no,yes,Scottish Register of Tartans,Wilsons of Bannockburn,01/01/1819,964.0,none,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=4691
16,Wilson's No.138,wilson-s-no-138,A14 XR42,A#5C8CA8 AZURE; XR#C80000 BASIC RED;,no,56,82,Fashion,2,Scottish Register of Tartans; Weddslist,2/2,no,yes,Scottish Register of Tartans,Wilsons of Bannockburn,01/01/1819,448.0,none,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=4693
17,Wilson's No.159,wilson-s-no-159,P16 K22 G18 R4,P#780078 PURPLE; R#C80000 RED; G#006818 GREEN; DP#440044 DARK PURPLE; DG#003820 DARK GREEN; K#101010 BLACK;,no,60,82,Fashion,2,Scottish Register of Tartans; Weddslist,2/2,no,yes,Scottish Register of Tartans,Wilsons of Bannockburn,01/01/1118,1984.0,none,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=4704
18,Wilson's No.172,wilson-s-no-172,LB16 K18,LB#2888C4 LIGHT BLUE; K#101010 BLACK;,no,34,82,Fashion,2,Scottish Register of Tartans; Weddslist,2/2,no,yes,Scottish Register of Tartans,Wilsons of Bannockburn,01/01/1819,250.0,none,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=4711
19,Wilson's No.174,wilson-s-no-174,LB2 DB8 G20 Y2,Y#E8C000 YELLOW; G#006818 GREEN; LB#2888C4 LIGHT BLUE; DB#202060 DARK BLUE; DG#003820 DARK GREEN;,no,32,82,Fashion,2,Scottish Register of Tartans; Weddslist,2/2,no,yes,Scottish Register of Tartans,Wilsons of Bannockburn,01/01/1819,1899.0,none,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=4713
20,Wilson's No.189,wilson-s-no-189,DP8 G20 R2 CW2,R#C80000 RED; G#006818 GREEN; DG#003820 DARK GREEN; DP#440044 DARK PURPLE; XR#C80000 BASIC RED; CW#FCFCFC CLEAR;,no,32,82,Fashion,2,Scottish Register of Tartans; Weddslist,1/2,no,yes,Scottish Register of Tartans,Wilsons of Bannockburn,01/01/1819,1933.0,none,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=4722
21,Wilson's No.192,wilson-s-no-192,DP8 G20 R2 Y2,P#780078 PURPLE; G#006818 GREEN; R#C80000 RED; Y#E8C000 YELLOW; DP#440044 DARK PURPLE; DG#003820 DARK GREEN; XR#C80000 BASIC RED; YT#D8B000 TAN YELLOW;,no,32,82,Fashion,2,Scottish Register of Tartans; Weddslist,1/2,no,yes,Scottish Register of Tartans,Wilsons of Bannockburn,01/01/1819,1934.0,none,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=4724
22,Wilson's No.196,wilson-s-no-196,LB4 K20 G18 R18,G#006818 GREEN; R#C80000 RED; LB#2888C4 LIGHT BLUE; AA#789484 ANC AZURE; DG#003820 DARK GREEN; XR#C80000 BASIC RED; K#101010 BLACK;,no,60,82,Fashion,2,Scottish Register of Tartans; Weddslist,1/2,no,yes,Scottish Register of Tartans,Wilsons of Bannockburn,01/01/1819,1940.0,none,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=4728
23,Wilson's No.198,wilson-s-no-198,LB8 K14 R8,R#C80000 RED; LB#2888C4 LIGHT BLUE; AA#789484 ANC AZURE; XR#C80000 BASIC RED; K#101010 BLACK;,no,30,82,Fashion,2,Scottish Register of Tartans; Weddslist,2/2,no,yes,Scottish Register of Tartans,Wilsons of Bannockburn,01/01/1819,1943.0,none,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=4730
24,Wilson's No.200,wilson-s-no-200,G8 K14 R8,R#C80000 RED; G#006818 GREEN; DG#003820 DARK GREEN; K#101010 BLACK;,no,30,82,Fashion,2,Scottish Register of Tartans; Weddslist,2/2,no,yes,Scottish Register of Tartans,Wilsons of Bannockburn,01/01/1819,2028.0,none,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=4732
25,Wilson's No.201,wilson-s-no-201,DP8 G16 Y4,Y#E8C000 YELLOW; G#006818 GREEN; AW#E8CCB8 ANC WHITE; DP#440044 DARK PURPLE; DG#003820 DARK GREEN; YT#D8B000 TAN YELLOW;,no,28,82,Fashion,2,Scottish Register of Tartans; Weddslist,1/2,no,yes,Scottish Register of Tartans,Wilsons of Bannockburn,01/01/1819,1937.0,none,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=4733
26,Wilson's No.202,wilson-s-no-202,G14 K8 R8,G#006818 GREEN; R#C80000 RED; K#101010 BLACK; DG#003820 DARK GREEN;,no,30,82,Fashion,2,Scottish Register of Tartans; Weddslist,2/2,no,yes,Scottish Register of Tartans,Wilsons of Bannockburn,01/01/1819,2029.0,none,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=4734
27,Wilson's No.203,wilson-s-no-203,LB8 R16 G20 Y4,Y#E8C000 YELLOW; R#C80000 RED; G#006818 GREEN; LB#2888C4 LIGHT BLUE; DG#003820 DARK GREEN;,no,48,82,Fashion,2,Scottish Register of Tartans; Weddslist,2/2,no,yes,Scottish Register of Tartans,Wilsons of Bannockburn,01/01/1819,2010.0,none,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=4735
28,Wilson's No.205,wilson-s-no-205,WLB2 WP8 WG20 BW2,WLB#00FCFC LIGHT BLUE; WG#044028 GREEN; WP#280034 PURPLE; BW#FCFCFC BRIGHT WHITE;,no,32,82,Fashion,2,Scottish Register of Tartans; Weddslist,1/2,no,yes,Scottish Register of Tartans,Wilsons of Bannockburn,01/01/1819,1898.0,none,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=4737
29,Wilson's No.210,wilson-s-no-210,LB12 G14,LB#2888C4 LIGHT BLUE; G#006818 GREEN; DG#003820 DARK GREEN;,no,26,82,Fashion,2,Scottish Register of Tartans; Weddslist,2/2,no,yes,Scottish Register of Tartans,Wilsons of Bannockburn,01/01/1819,118.0,none,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=4741
30,Menzies Dress Blue & White,menzies-dress-blue-white,W/4 A38 B2 A2 B2 A6 B10 W46 A6 W4 A2 W/8,W#E0E0E0 WHITE; A#3C82AF BLUE; B#2C4084 BLUE;,yes,248,80,Clan; Family,2,Scottish Register of Tartans; Weddslist,2/2,no,yes,Scottish Register of Tartans,Hugh MacPherson,,1756.0,none,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=2927
31,O'Sullivan McCragh (Personal),o-sullivan-mccragh-personal,OG/32 S4 OG8 GO4 OG8 S4 OG32 RB4 OG6 RB4 OG6 RB20 W4 N24 K4 N10 K4 N24 W4 RB20 OG6 RB4 OG6 RB/4,GO#BC8C00; S#C8002C; W#E0E0E0; RB#1C0070; OG#5C6428; K#101010; N#888888;,yes,456,80,Name,2,Scottish Tartans Authority; Weddslist,1/2,no,yes,Scottish Tartans Authority,"Aitken, Chris",,2169.0,none,,http://www.tartansauthority.com/tartan-ferret/display/2169/
32,Barbecue Plaid (Fashion),barbecue-plaid-fashion,Y/4 K4 R4 WW16 K28 R2 K2 R2 K2 R/2,Y#E8C000; WW#FCFCFC; K#000000; R#C80000;,yes,126,75,Scottish Tartans Society,3,Scottish Tartans Authority; House of Tartan; Weddslist,3/3,yes,yes,Scottish Tartans Authority,,,,none,,http://www.tartansauthority.com/tartan-ferret/display/1607/
33,Cooper Dress (Dalgliesh #1) (Dance),cooper-dress-dalgliesh-1-dance,NB/4 LV8 R4 WW52 NB6 WW4 NB6 K20 LV6 NB4 LV6 G18 NB2 K2 NB42 LV6 NB4 R/4,WW#FCFCFC; LV#C49CD8; R#C80000; G#006818; NB#2C2C80; K#101010;,yes,388,75,Scottish Tartans Society,3,Scottish Tartans Authority; House of Tartan; Weddslist,3/3,yes,yes,Scottish Tartans Authority,,,,none,,http://www.tartansauthority.com/tartan-ferret/display/75/
34,Forsyth (Clan),forsyth-clan,K/8 G44 Y4 K32 BL36 R/8,Y#E8C000; BL#1474B4; K#000000; R#C80000; G#007800;,yes,248,75,Scottish Tartans Society,3,Scottish Tartans Authority; House of Tartan; Weddslist,2/3,yes,yes,Scottish Tartans Authority,,,,none,,http://www.tartansauthority.com/tartan-ferret/display/1122/
35,Gayre Dress (Clan),gayre-dress-clan,AA/28 G8 K8 CW8 G24 AA8 G24 CW8 K8 R12 G8 CW8 G6 AA8 K/8,AA#789484; K#101010; R#C80000; CW#FCFCFC; G#006818;,yes,312,75,Scottish Tartans Society,3,Scottish Tartans Authority; House of Tartan; Weddslist,2/3,yes,yes,Scottish Tartans Authority,,,,none,,http://www.tartansauthority.com/tartan-ferret/display/161/
36,Inches of Perth (District or Clan),inches-of-perth-district-or-clan,T/88 Y4 K8 P4 T30 C12 K6 A6 Y/4,A#5C8CA8; P#780078; C#A00048; T#604000; Y#E8C000; K#101010;,yes,232,75,Scottish Tartans Society,3,Scottish Tartans Authority; House of Tartan; Weddslist,1/3,yes,yes,Scottish Tartans Authority,,,,none,,http://www.tartansauthority.com/tartan-ferret/display/1753/
37,Innes (Seven colours) (Clan),innes-seven-colours-clan,A/7 K24 R4 K4 R4 K4 R24 Y4 R6 B12 R6 K4 G20 K4 R6 W/4,A#5C8CA8; R#C80000; B#2C2C80; W#E0E0E0; G#006818; Y#E8C000; K#101010;,yes,263,75,Robert Bradford,3,Scottish Tartans Authority; House of Tartan; Weddslist,1/3,yes,yes,Scottish Tartans Authority,,,,none,,http://www.tartansauthority.com/tartan-ferret/display/361/
38,MacCormick Dress (Name),maccormick-dress-name,K/6 G26 K20 DR26 K4 DR/6,K#101010; DR#880000; G#006818;,yes,164,75,Scottish Tartans Society,3,Scottish Tartans Authority; House of Tartan; Weddslist,3/3,yes,yes,Scottish Tartans Authority,,,,none,,http://www.tartansauthority.com/tartan-ferret/display/1091/
39,Stephenson (Name),stephenson-name,RB/10 DR6 WG52 RB40 MY6 K40 A4 DR10 A4 WG40 K/12,WG#408060; A#2474E8; RB#1C0070; MY#D09800; K#101010; DR#880000;,yes,426,75,Scottish Tartans Society,3,Scottish Tartans Authority; House of Tartan; Weddslist,2/3,yes,yes,Scottish Tartans Authority,,,,none,,http://www.tartansauthority.com/tartan-ferret/display/517/
40,Stewart of Urrard (Clan?),stewart-of-urrard-clan,G/12 R4 G4 R36 DP18 R6 G6 R6 DP18 R6 G48 R4 G4 R/8,R#C80000; G#006818; DP#440044;,yes,340,75,Scottish Tartans Society,3,Scottish Tartans Authority; House of Tartan; Weddslist,2/3,yes,yes,Scottish Tartans Authority,,,,none,,http://www.tartansauthority.com/tartan-ferret/display/898/
41,Strathblane (Fashion),strathblane-fashion,R/6 N12 W4 K8 T/24,K#101010; R#C80000; T#604000; W#E0E0E0; N#888888;,yes,78,75,Scottish Tartans Society,3,Scottish Tartans Authority; House of Tartan; Weddslist,1/3,yes,yes,Scottish Tartans Authority,,,,none,,http://www.tartansauthority.com/tartan-ferret/display/1633/
42,Watson (Name),watson-name,B/48 K4 B4 R4 B4 K40 G32 Y4 G4 Y/6,Y#E8C000; K#101010; R#C80000; B#2C2C80; G#006818;,yes,246,75,Scottish Tartans Society,3,Scottish Tartans Authority; House of Tartan; Weddslist,3/3,yes,yes,Scottish Tartans Authority,,,,none,,http://www.tartansauthority.com/tartan-ferret/display/307/
43,Cameron Black & Red (Dress),cameron-black-red-dress,K/4 ZR24 K4 ZR24 K66 ZR/4,K#101010 BLACK; ZR#A00000 RUST;,yes,244,75,Clan; Family,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,no,yes,Scottish Register of Tartans,Unknown,01/01/2002,1186.0,none,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=491
44,MacLeod Black & Red,macleod-black-red,R/2 K24 R16 K2 R/16,R#DC0000 RED; K#101010 BLACK;,yes,102,75,Clan; Family,2,Scottish Register of Tartans; Weddslist,2/2,no,yes,Scottish Register of Tartans,,,1591.0,none,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=2633
45,Ryutokukan Junior High School,ryutokukan-junior-high-school,R/12 DG26 K10 R40 W/6,W#FBF8D7 WHITE; K#101010 BLACK; R#880110 RED; DG#003D0D DARK GREEN;,yes,170,72,Corporate,3,Scottish Register of Tartans; Scottish Tartans Authority; House of Tartan,3/3,yes,no,Scottish Register of Tartans,Lochcarron of Scotland,20/04/2012,,weaver_note,Yes. For pupils of Ryutokukan Junior High School only.Only to be woven by Lochcarron of Scotland and their schoolwear licencees in Japan.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=10647
46,Alexander (Personal),alexander-personal,R/24 LB4 R8 LB8 K30 G8 R8 G4 R/24,K#101010 BLACK; B#2C2C80 BLUE; G#006818 GREEN; R#C80000 RED; LB#2888C4 LIGHT BLUE;,yes,188,70,Name,2,Scottish Register of Tartans; Weddslist,1/2,no,yes,Scottish Register of Tartans,"MacDonald, Peter",01/01/2002,1405.0,weaver_note,Yes.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=44
47,Brough (Personal),brough-personal,HG/20 DR6 HG16 DB24 WW4 DB24 DR/36,DB#202060 DARKBLUE; WW#FCFCFC WILSONWHITE; DR#880000 DARKRED; HG#285800 HUNTING GREEN;,yes,204,70,Name,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,no,yes,Scottish Register of Tartans,"Benton, D",,2233.0,weaver_note,Yes.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=389
48,Confessore (Personal),confessore-personal,K/24 OG4 K4 OG16 YY4 R4 YY16 R4 YY8 OG16 K4 OG4 K32 W4 K/8,W#E0E0E0 WHITE; R#C80000 BASIC RED; YY#FCCC00 YELLOWBASIC; OG#5C6428 OLIVE GREEN; K#101010 BLACK;,yes,272,70,Name,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,no,yes,Scottish Register of Tartans,"Lumsden, Keith",01/01/2002,2165.0,weaver_note,Yes.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=735
49,Craik of Assington (Personal),craik-of-assington-personal,MY/8 K4 G16 DR8 G32 RB4 DR44 RB/16,K#101010 BLACK; DR#880000 DARK RED; G#006818 GREEN; MY#D09800 M YELLOW; RB#1C0070 ROYAL BLUE;,yes,240,70,Name,2,Scottish Register of Tartans; Weddslist,1/2,no,yes,Scottish Register of Tartans,"Davidson, Capt T.S.",01/01/1980,494.0,weaver_note,Yes.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=789
50,D'Souza (Personal),d-souza-personal,N6 DB4 N4 DB32 K40 DP4 LO4 DP4 K4 DP48,DP#440044 DARK PURPLE; N#888888 GRAY; DB#202060 DARK BLUE; K#101010 BLACK; LO#EC8048 LGT ORANGE;,no,150,70,Name,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,no,no,Scottish Register of Tartans,"D'Souza, Fiona",01/01/2005,,none,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=998
51,Hannigan of Dirleton (Personal),hannigan-of-dirleton-personal,P/8 G8 OG4 W6 G54 OG60 Y2 S/6,P#780078; S#C8002C; Y#E8C000; W#E0E0E0; G#006818; OG#5C6428;,yes,282,70,Name,2,Scottish Tartans Authority; Weddslist,2/2,no,yes,Scottish Tartans Authority,Scottish Tartans Society,01/07/1998,2685.0,weaver_note,Yes.,http://www.tartansauthority.com/tartan-ferret/display/2685/
52,"Huaumé, Patrick Antoine (Personal)",huaum-patrick-antoine-personal,G/10 DB9 P4 DR2 P4 G6 K10 W4 G24 DB60 K/4,DB#113C8B DARK BLUE; K#101010 BLACK; P#9C68A4 PURPLE; DR#901C38 DARK RED; G#006818 GREEN; W#E0E0E0 WHITE;,yes,260,70,Name,2,Scottish Register of Tartans; Scottish Tartans Authority,1/2,no,no,Scottish Register of Tartans,Huaumé and Trivett,04/10/2014,,none,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=11152
53,"Joy's Fancy, Allen (Personal)",joy-s-fancy-allen-personal,LN12 K180,K#101010 BLACK; LN#C0C0C0 LIGHT GRAY;,no,192,70,Name,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,no,no,Scottish Register of Tartans,"'Smith Jnr, Dr Philip D",,,none,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=5271
54,Junor (Personal),junor-personal,K/4 R18 LB4 RB4 LB4 RB22 Y4 RB12 R/144,Y#E8C000; K#101010; R#C80000; LB#2888C4; RB#1C0070;,yes,284,70,Name,2,Scottish Tartans Authority; Weddslist,1/2,no,yes,Scottish Tartans Authority,"Jones, Peter Norman",01/01/1996,2611.0,weaver_note,Yes.,http://www.tartansauthority.com/tartan-ferret/display/2611/
55,Letham (S.Australia),letham-s-australia,LB/8 K8 G26 LB14 K8 LB20 K40 G/80,G#006818 GREEN; K#101010 BLACK; LB#2888C4 LIGHT BLUE;,yes,320,70,Name,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,no,no,Scottish Register of Tartans,"Letham, James",01/08/2005,,none,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=2106
56,M'Kleod,m-kleod,Y/12 K4 B72 W6 R4 LG6 K6 N/36,Y#E8C000 YELLOW; K#101010 BLACK; B#2C2C80 BLUE; W#E0E0E0 WHITE; R#C80000 RED; LG#289C18 LIGHT GREEN; N#888888 GREY;,yes,244,70,Name,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,no,no,Scottish Register of Tartans,"M'Kleod, Ken Dean",01/09/2003,,none,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=2971
57,MacNiven,macniven,G/36 LG4 RB10 DR90 SB6 RB36 SB6 DR16 LN/4,DR#880000 DARK RED; G#006818 GREEN; LN#C0C0C0 LIGHT GRAY; LG#289C18 LIGHT GREEN; RB#1C0070 ROYAL BLUE; SB#A8ACE8 SKY BLUE;,yes,376,70,Clan; Family,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,no,yes,Scottish Register of Tartans,Cannonito/Dalgliesh,01/01/1988,752.0,weaver_note,Yes. Prepared for weaving by D C Dalgliesh Ltd.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=2693
58,MacRobart (Personal),macrobart-personal,SB/4 G30 SB4 G20 K20 DB/60,K#101010 BLACK; DB#202060 DARK BLUE; G#006818 GREEN; SB#A8ACE8 SKY BLUE;,yes,212,70,Name,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,no,yes,Scottish Register of Tartans,"Holder, Michael Owen",01/01/1997,2388.0,weaver_note,Yes.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=2760
59,Marchmont (Personal),marchmont-personal,K/4 B48 K48 LG4 K48 B48 LG/4,LG#289C18; K#101010; B#2C2C80;,yes,400,70,Name,2,Scottish Tartans Authority; Weddslist,1/2,no,yes,Scottish Tartans Authority,"Lumsden, Keith",01/01/1997,2521.0,weaver_note,Yes.,http://www.tartansauthority.com/tartan-ferret/display/2521/
60,Martin's Own,martin-s-own,A/8 LG4 A40 K16 A4 K8 A4 K/40,K#101010 BLACK; A#5C8CA8 AZURE; LG#289C18 LIGHT GREEN;,yes,200,70,Name,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,no,no,Scottish Register of Tartans,"Martin, Bob",01/01/2004,,none,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=3433
61,Morris of Balgonie (Personal),morris-of-balgonie-personal,MY/4 G40 K20 DR6 DP40 WW/4,K#101010 BLACK; DP#5C005C DARK PURPLE; DR#880000 DARK RED; G#006818 GREEN; MY#D09800 M YELLOW; WW#F8F8F8 WILSON WHITE;,yes,220,70,Name,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,no,yes,Scottish Register of Tartans,Scarlett/Morris,01/01/1995,2460.0,weaver_note,Yes.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=3014
62,O'Long (Personal),o-long-personal,G/44 P44 G6 P22 W6 P8 W/6,G#006818 GREEN; P#780078 PURPLE; W#E0E0E0 WHITE; R#C80000 RED;,yes,222,70,Name,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,no,no,Scottish Register of Tartans,Tartanweb,01/06/2007,,none,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=3241
