name,slug,threadcount,palette,colors_hex,symmetric,thread_total,verification,confirmed_by
Cameron,cameron,R/8 G24 R8 G24 R64 Y/8,R#C80000 G#006818 Y#E8C000,#C80000|#006818|#E8C000,yes,256,C_dual_register_scrape,
Cameron (altered by weaver),cameron-altered-by-weaver,B/14 R6 B18 R4 K20 G18 R6 G4 R4 G/14,B#2C4084 R#DC0000 K#101010 G#005020,#2C4084|#DC0000|#101010|#005020,yes,188,B_one_independent_archive,weddslist
Cameron Ancient,cameron-ancient,R/6 G16 R12 G16 R6 Y3 R/58,R#DC0000 G#005020 Y#E8C000,#DC0000|#005020|#E8C000,yes,170,B_one_independent_archive,weddslist
Cameron Black & Red (Dress),cameron-black-and-red-dress,K/4 ZR24 K4 ZR24 K66 ZR/4,K#101010 ZR#A00000,#101010|#A00000,yes,244,B_one_independent_archive,tartans-authority
"Cameron Boyle, The (Personal)",cameron-boyle-the-personal,G/10 B40 G4 B4 G4 B4 G50 M4 G4 M34 K16 G4 W/4,G#30AC38 B#1874CD M#99182C K#101010 W#FCFCFC,#30AC38|#1874CD|#99182C|#101010|#FCFCFC,yes,350,C_dual_register_scrape,
Cameron Hose,cameron-hose,K/6 R48 G6 R6 W48 R6 K/6,K#101010 R#DC0000 G#005020 W#E0E0E0,#101010|#DC0000|#005020|#E0E0E0,yes,240,B_one_independent_archive,weddslist
Cameron Hose #2,cameron-hose-2,LC/6 R6 W46 R6 LC6 R46 K4 R/6,LC#C80050 R#DC0000 W#E0E0E0 K#101010,#C80050|#DC0000|#E0E0E0|#101010,yes,240,C_dual_register_scrape,
Cameron Hunting,cameron-hunting,T/30 R10 T60 BL64 T8 MY/6,DR#880000 T#4C3428 MY#D09800 RB#1C0070 B#2C2C80 R#C80000 BL#1474B4,#4C3428|#C80000|#1474B4|#D09800|#880000|#1C0070|#2C2C80,yes,320,A_two_plus_independent_archives,weddslist; tartans-authority
Cameron of Erracht,cameron-of-erracht,G/16 R2 G2 R6 G32 K32 R2 B32 R6 B16 Y/4,K#101010 B#2C2C80 G#006818 R#C80000 Y#E8C000,#006818|#C80000|#101010|#2C2C80|#E8C000,yes,280,A_two_plus_independent_archives,weddslist; tartans-authority
Cameron of Erracht (WCWM),cameron-of-erracht-wcwm,G/20 DR8 G8 DR8 G40 K40 DR6 WG40 DR8 WG8 GO/8,K#101010 GO#BC8C00 DR#880000 G#4C3428 WG#408060,#4C3428|#880000|#101010|#408060|#BC8C00,yes,360,C_dual_register_scrape,
Cameron of Erracht Dress,cameron-of-erracht-dress,WW/4 R2 WW4 R4 WW18 K18 R2 B20 R4 K4 Y/4,K#101010 B#2C2C80 R#C80000 WW#FCFCFC Y#E8C000,#FCFCFC|#C80000|#101010|#2C2C80|#E8C000,yes,160,B_one_independent_archive,tartans-authority
Cameron of Locheil,cameron-of-locheil,B/8 R2 B2 R36 B20 R2 G2 R12 G20 R12 W2 R8 B/2,B#2C4084 R#DC0000 G#005020 W#E0E0E0,#2C4084|#DC0000|#005020|#E0E0E0,yes,246,B_one_independent_archive,weddslist
Cameron of Locheil #2,cameron-of-locheil-2,R/16 DB32 R8 DB4 WW4 DB4 R24 G12 R/24,DB#000048 R#C80000 WW#FCFCFC G#006818,#C80000|#000048|#FCFCFC|#006818,yes,216,C_dual_register_scrape,
Cameron of Locheil #3,cameron-of-locheil-3,R/24 B8 R23 K4 W4 K4 R10 K32 R/8,R#DC0000 B#2C4084 K#101010 W#E0E0E0,#DC0000|#2C4084|#101010|#E0E0E0,yes,202,C_dual_register_scrape,
Cameron of Locheil (Bonner collection),cameron-of-locheil-bonner-collection,K/6 R8 B4 R40 B40 R4 G4 R12 G20 R12 W4 R6 K/4,K#101010 R#DC0000 B#2C4084 G#005020 W#E0E0E0,#101010|#DC0000|#2C4084|#005020|#E0E0E0,yes,318,B_one_independent_archive,weddslist
Cameron of Lochiel (Hunting),cameron-of-lochiel-hunting,R/6 G20 R6 G28 RB32 G6 Y/4,GO#BC8C00 DR#880000 G#006818 RB#1C0070 R#C80000 Y#E8C000,#C80000|#006818|#1C0070|#E8C000|#BC8C00|#880000,yes,194,C_dual_register_scrape,
Campagna Center,campagna-center,AG/4 R72 AG22 K10 W2 AG2 Y2 K2 W2 K2 AG32 R10 W/2,LO#EC8048 BR#B03000 AG#007460 R#FF0000 K#101010 W#E0E0E0 Y#E8C000,#007460|#FF0000|#101010|#E0E0E0|#E8C000|#EC8048|#B03000,yes,322,B_one_independent_archive,tartans-authority
Campbell,campbell,B/28 K6 B6 K6 B6 K32 OG32 K6 OG32 K32 B32 K6 B/6,K#101010 OG#5C6428 B#345064,#345064|#101010|#5C6428,yes,426,B_one_independent_archive,tartans-authority
Campbell #2,campbell-2,B22 K6 B22 K22 G30 K4 W6 K4 G30 K22 W10 K10 W38 K4 W10 K4 W38 K10 W10 K22 G30 K4 Y6 K4 G30 K22,B#2C4084 K#101010 G#005020 W#E0E0E0 Y#E8C000,#2C4084|#101010|#005020|#E0E0E0|#E8C000,no,420,C_dual_register_scrape,
Campbell 'Camel',campbell-camel,LT/4 KK4 LT40 KK4 LT16 KK4 XT12 KK20 SW8 XT/4,LT#B07430 KK#000000 XT#381C0C SW#B0B0B0,#B07430|#000000|#381C0C|#B0B0B0,yes,224,B_one_independent_archive,tartans-authority
Campbell Brown,campbell-brown,W/18 K2 T62 G60 B72 G6 B6 G6 B72 G60 T62 K2 Y/18,W#E0E0E0 K#101010 T#503C14 G#005020 B#2C4084 Y#E8C000,#E0E0E0|#101010|#503C14|#005020|#2C4084|#E8C000,yes,856,B_one_independent_archive,weddslist
Campbell Dress,campbell-dress,WW/8 BL4 WW32 BL8 WW6 K16 G16 Y4 G16 K16 BL16 K4 BL8 K4 BL16 K16 G16 WW4 G16 K16 WW6 BL8 WW32 BL4 WW/8,K#000000 G#004C00 Y#E8C000 BL#1474B4 WW#FCFCFC,#FCFCFC|#1474B4|#000000|#004C00|#E8C000,yes,584,B_one_independent_archive,tartans-authority
Campbell Dress #2,campbell-dress-2,B20 K4 B4 K4 B20 K24 G24 W6 G24 K18 W10 LB12 W38 LB4 W12 LB4 W38 LB12 W10 K18 G24 Y6 G24 K24,B#2C4084 K#101010 G#005020 W#E0E0E0 LB#0596FA Y#E8C000,#2C4084|#101010|#005020|#E0E0E0|#0596FA|#E8C000,no,384,C_dual_register_scrape,
Campbell Hunting,campbell-hunting,BL/8 K2 WW4 K6 Y2 N24 T2 K24 T24 R/8,T#604000 N#888888 R#C80000 Y#E8C000 WW#FCFCFC BL#1474B4 K#101010,#1474B4|#101010|#FCFCFC|#E8C000|#888888|#604000|#C80000,yes,192,B_one_independent_archive,weddslist
Campbell Red,campbell-red,R/6 K2 G42 K38 B38 K6 B6 K6 B38 K38 G42 K2 W/6,R#DC0000 K#101010 G#005020 B#2C4084 W#E0E0E0,#DC0000|#101010|#005020|#2C4084|#E0E0E0,yes,528,B_one_independent_archive,weddslist
Campbell Red (artefact),campbell-red-artefact,R/4 K44 R48 K2 R/8,R#DC0000 K#101010,#DC0000|#101010,yes,200,B_one_independent_archive,weddslist
Campbell Simpson,campbell-simpson,G/44 K6 G50 K/8,G#005020 K#101010,#005020|#101010,yes,164,C_dual_register_scrape,
Campbell Simpson (Dalgliesh),campbell-simpson-dalgliesh,WG/44 K6 WG6 G32 WG12 K/8,K#101010 DG#003820 G#006818 LG#289C18 WG#408060,#408060|#101010|#006818|#003820|#289C18,yes,164,B_one_independent_archive,weddslist
Campbell of Argyll,campbell-of-argyll,B2 K2 B2 K2 B16 K2 B2 K2 B2 K16 G16 K2 W4 K2 G16 K16 B16 K2 B2 K2 B16 K16 G16 K2 Y4 K2 G16 K32,B#2C4084 K#101010 G#005020 W#E0E0E0 Y#E8C000,#2C4084|#101010|#005020|#E0E0E0|#E8C000,no,230,B_one_independent_archive,weddslist
Campbell of Argyll #2,campbell-of-argyll-2,BL2 K2 BL16 K16 G16 K2 Y4 K2 G16 K16 BL2 K2 BL2 K2 BL16 K2 BL2 K2 BL2 K16 G16 K2 WW4 K2 G16 K16 BL16 K2,K#101010 B#2C2C80 HG#285800 W#E0E0E0 Y#E8C000 BL#1474B4 G#006818 WW#FCFCFC,#1474B4|#101010|#006818|#E8C000|#FCFCFC|#2C2C80|#285800|#E0E0E0,no,214,C_dual_register_scrape,
Campbell of Argyll (Smiths),campbell-of-argyll-smiths,B/4 K4 B24 K22 G32 W/4,K#101010 B#2C2C80 G#006818 W#E0E0E0,#2C2C80|#101010|#006818|#E0E0E0,yes,172,C_dual_register_scrape,
Campbell of Argyll (no guards),campbell-of-argyll-no-guards,BL2 K2 BL16 K16 G16 Y4 G16 K16 BL2 K2 BL2 K2 BL16 K2 BL2 K2 BL2 K16 G16 WW4 G16 K16 BL16 K2,K#101010 B#2C2C80 HG#285800 W#E0E0E0 Y#E8C000 BL#1474B4 G#006818 WW#FCFCFC,#1474B4|#101010|#006818|#E8C000|#FCFCFC|#2C2C80|#285800|#E0E0E0,no,206,C_dual_register_scrape,
Campbell of Armaddie,campbell-of-armaddie,R/4 K24 R24 K2 R/8,K#000000 R#C80000,#C80000|#000000,yes,112,B_one_independent_archive,tartans-authority
Campbell of Breadalbane,campbell-of-breadalbane,B/16 K2 B2 K2 B2 K16 Y2 G28 Y2 K16 B16 K2 B/2,B#2C4084 K#101010 Y#E8C000 G#005020,#2C4084|#101010|#E8C000|#005020,yes,198,B_one_independent_archive,weddslist
Campbell of Breadalbane #2,campbell-of-breadalbane-2,B/52 K8 B8 K8 B8 K54 Y10 G94 Y10 K54 B50 K8 B/8,B#2C4084 K#101010 Y#E8C000 G#005020,#2C4084|#101010|#E8C000|#005020,yes,684,C_dual_register_scrape,
Campbell of Breadalbane #3,campbell-of-breadalbane-3,K/6 B18 K18 G18 Y4 G18 K/18,K#000000 Y#DCBC00 G#006818 B#2C2C80,#000000|#2C2C80|#006818|#DCBC00,yes,176,C_dual_register_scrape,
Campbell of Cawdor,campbell-of-cawdor,A/8 K4 G32 K32 B32 K4 R/8,A#5C8CA8 K#101010 B#2C2C80 G#006818 R#C80000,#5C8CA8|#101010|#006818|#2C2C80|#C80000,yes,224,B_one_independent_archive,tartans-authority
Campbell of Cawdor Dress,campbell-of-cawdor-dress,B/20 K20 G20 K2 B4 K2 G20 K20 WW4 B4 WW48 B4 WW4 B4 WW48 B4 WW4 K20 G20 K2 B4 K2 G20 K20 B20 K4 R6 K4 B20 K20 WW4 B4 WW48 B4 WW4 B/4,K#101010 B#2C2C80 G#006818 R#C80000 WW#FCFCFC,#2C2C80|#101010|#006818|#FCFCFC|#C80000,yes,900,B_one_independent_archive,weddslist
Campbell of Loch Neil Dress,campbell-of-loch-neil-dress,B12 K2 B6 K2 B12 K12 G14 K2 W4 K2 G14 K10 W6 B6 W18 B3 W4 B3 W18 B6 W6 K10 G14 K2 Y4 K2 G14 K20,B#2C4084 K#101010 G#005020 W#E0E0E0 Y#E8C000,#2C4084|#101010|#005020|#E0E0E0|#E8C000,no,228,B_one_independent_archive,weddslist
Campbell of Lochlane,campbell-of-lochlane,KK/8 DR4 KK24 DR24 KK4 DR4 KK/4,DR#880000 KK#000000,#000000|#880000,yes,132,B_one_independent_archive,tartans-authority
Campbell of Loudoun,campbell-of-loudoun,W/4 K2 G24 K24 B24 K2 B2 K2 B24 K24 G24 K2 Y/4,W#E0E0E0 K#101010 G#005020 B#2C4084 Y#E8C000,#E0E0E0|#101010|#005020|#2C4084|#E8C000,yes,316,C_dual_register_scrape,
Campbell of Loudoun Plaid,campbell-of-loudoun-plaid,B2 R8 B10 R20 HG20 R28 HG8 R6 B2 R2 B2 R6 B28 R36 B2 R2 B6 R2 B2 R6 B18 R6 B2 R2 B6 R2 B2 R6 B18 R6 B2 R2 B6 R2 B2 R36 B28 R6 B2 R2 B2 R6 HG8 R28 HG20 R20 B10 R8,B#2C2C80 HG#285800 R#C80000,#2C2C80|#C80000|#285800,no,456,C_dual_register_scrape,
"Campbell, 42nd Dress (Balhousie)",campbell-42nd-dress-balhousie,BL/4 K2 BL16 K14 WG16 K4 WG16 K14 W6 BL6 W30 K4 W/6,K#101010 B#2C2C80 HG#285800 W#E0E0E0 BL#1474B4 WG#408060,#1474B4|#101010|#408060|#E0E0E0|#2C2C80|#285800,yes,266,A_two_plus_independent_archives,weddslist; tartans-authority
"Campbell, Marquis of Lorne",campbell-marquis-of-lorne,P/6 K6 G4 K22 G3 K3 G32 Y3 G3 WW3 G3 R3 G32 K3 G3 K22 G4 K/6,K#101010 G#006818 P#780078 R#C80000 WW#FCFCFC Y#E8C000,#780078|#101010|#006818|#E8C000|#FCFCFC|#C80000,yes,310,A_two_plus_independent_archives,weddslist; tartans-authority
"Campbell, New Louden",campbell-new-louden,LT/18 WW4 MP4 LT4 R10 K4 R10 LT4 MP4 WW4 G24 WW4 LT10 DB4 LB4 LT10 WW4 R/50,K#101010 DB#202060 G#006818 LB#2888C4 LT#A08858 MP#9C68A4 R#C80000 WW#FCFCFC,#A08858|#FCFCFC|#9C68A4|#C80000|#101010|#006818|#202060|#2888C4,yes,284,A_two_plus_independent_archives,weddslist; tartans-authority
"Campbell, Sir Walter Scott",campbell-sir-walter-scott,K/4 P14 K18 B4 G16 K/4,K#101010 P#5A008C B#2C4084 G#005020,#101010|#5A008C|#2C4084|#005020,yes,112,B_one_independent_archive,weddslist
"Campbell, The 42nd",campbell-the-42nd,BL/12 K12 BL36 K36 G44 K/10,K#101010 B#2C2C80 G#006818 BL#1474B4,#1474B4|#101010|#006818|#2C2C80,yes,278,B_one_independent_archive,tartans-authority
"Campbell, The 42nd Dress",campbell-the-42nd-dress,WW/4 BL4 WW28 BL2 WW6 BL2 WW28 BL4 WW4 K16 G22 K4 G22 K16 BL20 K4 BL4 K4 BL20 K/16,K#101010 B#2C2C80 G#006818 WW#FCFCFC BL#1474B4,#FCFCFC|#1474B4|#101010|#006818|#2C2C80,yes,440,B_one_independent_archive,tartans-authority
Campbell-Simpson (Personal),campbell-simpson-personal,LG/48 K8 LG8 HG36 LG16 K8 LG16 HG36 LG8 K/8,AY#DC943C LO#EC8048 LG#289C18 K#101010 DG#003820 HG#285800,#289C18|#101010|#285800|#DC943C|#EC8048|#003820,yes,328,C_dual_register_scrape,
Canadian Autumn,canadian-autumn,G/8 DR56 RB12 G20 K20 G/6,K#101010 DR#880000 G#006818 RB#1C0070,#006818|#880000|#1C0070|#101010,yes,230,B_one_independent_archive,tartans-authority
Canadian Caledonian,canadian-caledonian,B/12 G64 Y4 R4 WW4 R24 G12 R4 G12 WW/4,DB#000048 DG#004028 YT#DCBC00 XR#C80000 CW#FCFCFC WW#FCFCFC R#C80000 Y#E8C000 G#006818 B#2C2C80,#2C2C80|#006818|#E8C000|#C80000|#FCFCFC|#000048|#004028|#DCBC00,yes,272,B_one_independent_archive,tartans-authority
Canadian Caledonian Hunting,canadian-caledonian-hunting,RB/12 K4 G64 MY4 DR4 LN4 DR24 G12 DR4 G12 LN/4,RB#00008C G#004C00 DR#880000 MY#C88C00 K#000000 LN#C8C8C8,#00008C|#000000|#004C00|#C88C00|#880000|#C8C8C8,yes,280,C_dual_register_scrape,
Canadian Centennial,canadian-centennial,R/6 W12 R4 DG64 DB72 K4 DB8 Y/4,K#101010 Y#D09800 R#C80000 W#E0E0E0 DG#003820 DB#202060,#C80000|#E0E0E0|#003820|#202060|#101010|#D09800,yes,338,A_two_plus_independent_archives,weddslist; tartans-authority
Canadian Centennial #3,canadian-centennial-3,B32 G16 K16 B2 K2 B2 K2 B2 K2 B2 K2 B2 K2 B2 K2 B40 K8 G24 K48 T16 B2 T2 B2 T2 B2 T2 B2 T2 B2 T2 B2 T2 B28 T12 K8 G104 K8 T12 B28 T2 B2 T2 B2 T2 B2 T2 B2 T2 B2 T2 B2 T16 K48 G24 K8 B40 K2 B2 K2 B2 K2 B2 K2 B2 K2 B2 K2 B2 K16 G16,K#101010 B#2C2C80 T#604000 G#006818,#2C2C80|#006818|#101010|#604000,no,664,C_dual_register_scrape,
Canadian Confederation,canadian-confederation,RB16 R8 K8 RB1 K1 RB1 K1 RB1 K1 RB1 K1 RB1 K1 RB1 K1 RB20 K4 R12 K24 G8 RB1 G1 RB1 G1 RB1 G1 RB1 G1 RB1 G1 RB1 G1 RB26 G6 K4 R24 CW4 R24,K#101010 CW#FCFCFC G#006818 R#C80000 RB#1C0070,#1C0070|#C80000|#101010|#006818|#FCFCFC,no,212,B_one_independent_archive,tartans-authority
Canadian Fancy,canadian-fancy,B/6 G24 B24 G12 T50 G/8,B#5C8CA8 T#604000 G#006818,#5C8CA8|#006818|#604000,yes,234,A_two_plus_independent_archives,weddslist; tartans-authority
Canadian Irish Regiment,canadian-irish-regiment,R/4 G6 T52 GO/200,AR#E86000 T#604000 GO#BC8C00 DG#003820 G#006818 R#C80000,#C80000|#006818|#604000|#BC8C00|#E86000|#003820,yes,320,B_one_independent_archive,tartans-authority
Canadian Legion Branch 50,canadian-legion-branch-50,DR/136 DB18 SB20 DB26 MY2 DB2 MY/4,DB#202060 DR#880000 MY#D09800 SB#A8ACE8,#880000|#202060|#A8ACE8|#D09800,yes,276,C_dual_register_scrape,
Canadian Winter Games 1987,canadian-winter-games-1987,W/32 MBG8 W4 MBG8 W4 MBG8 R12 MBG12 W/4,MBG#283C50 G#007800 R#880000 Y#C88C00 K#000000 W#C8C8C8 A#788CB4 P#64008C,#C8C8C8|#283C50|#880000|#007800|#C88C00|#000000|#788CB4|#64008C,yes,148,C_dual_register_scrape,
"Canberra, City of",canberra-city-of,BN/152 NB44 K2 Y6 K2 NB6 K2 WW4 K2 NB/20,BN#2C4C68 K#000000 CW#FCFCFC NB#4074A4 Y#E8C000 WW#FCFCFC,#2C4C68|#4074A4|#000000|#E8C000|#FCFCFC,yes,308,B_one_independent_archive,tartans-authority
Canice-Moodie (Personal),canice-moodie-personal,R/4 W12 Y4 W12 Y12 DB6 G2 DB2 G10 DB12 R/6,DB#202060 G#006818 R#C80000 W#E0E0E0 Y#E8C000,#C80000|#E0E0E0|#E8C000|#202060|#006818,yes,154,B_one_independent_archive,tartans-authority
Canmore,canmore,B/8 K6 B56 W4 P12 FG56 LP4 FG8 P/8,B#00008C FG#146400 K#000000 W#C8C8C8 P#64008C LP#683C8C,#00008C|#000000|#C8C8C8|#64008C|#146400|#683C8C,yes,308,B_one_independent_archive,tartans-authority
Canna,canna,WW/128 DR36 GO4 DR8 WW4 DR8 ZR28 XT16 DR4 XT8 WW/4,WW#F8F4D0 XT#A86C2C CT#B03929 ZR#70000C DY#FCB000 GO#BC8C00 WR#680028 DWR#800028 DR#880000,#F8F4D0|#880000|#BC8C00|#70000C|#A86C2C|#B03929|#FCB000|#680028|#800028,yes,364,B_one_independent_archive,tartans-authority
Canna Saphire,canna-saphire,LRB/8 W60 R8 LRB6 R2 LRB2 R2 LRB44 W/4,W#F0E0C8 R#C80000 LRB#1474B4,#1474B4|#F0E0C8|#C80000,yes,260,B_one_independent_archive,tartans-authority
Canterbury,canterbury,R/4 K40 R10 K8 MG8 K8 R10 K4 R28 K4 Y/4,MG#003800 R#880000 Y#C88C00 K#000000,#880000|#000000|#003800|#C88C00,yes,248,B_one_independent_archive,tartans-authority
Canuck Place,canuck-place,Y/2 RR4 OG6 LP48 OG52 DB6 OG30 DB4 W/2,W#E0E0E0 LP#9C8098 RR#901C38 DB#1C1C50 OG#889C5C Y#BC8C00,#BC8C00|#901C38|#889C5C|#9C8098|#1C1C50|#E0E0E0,yes,304,B_one_independent_archive,tartans-authority
Canyon County Idaho Sheriff,canyon-county-idaho-sheriff,K50 LT50 WW10 LT50 K50 R10,K#101010 R#C80000 LY#C4BC68 WW#FCFCFC LT#A08858,#101010|#A08858|#FCFCFC|#C80000|#C4BC68,no,220,B_one_independent_archive,tartans-authority
Cape Breton (yellow stripes),cape-breton-yellow-stripes,Y/12 K12 AA60 K16 LN36 K12 Y/6,GO#9C9C00 K#000000 DN#606060 G#004800 AW#E8CCB8 AA#789484 N#888888 LN#C0C0C0 Y#E8C000,#E8C000|#000000|#789484|#C0C0C0|#9C9C00|#606060|#004800|#E8CCB8|#888888,yes,290,B_one_independent_archive,tartans-authority
Capercaillie,capercaillie,E/4 ST3 E4 ST2 E4 B8 E30 K4 B4 K36 E4 R2 K4 WW/2,WW#FCFCFC K#101010 R#C80000 DN#5C5C5C B#2C2C80 ZR#A00000 ST#98481C E#4C3428,#4C3428|#98481C|#2C2C80|#101010|#C80000|#FCFCFC|#5C5C5C|#A00000,yes,216,B_one_independent_archive,tartans-authority
Care Leaver,care-leaver,LB30 K100 LN8 R36 K10 B10 K30 Y20 K8,Y#FCCC00 K#101010 LB#48A4C0 LN#E0E0E0 R#A00048 B#2474E8,#48A4C0|#101010|#E0E0E0|#A00048|#2474E8|#FCCC00,no,252,B_one_independent_archive,tartans-authority
Cargill,cargill,B/4 LG4 B24 K24 LG4 K24 LG4 B8 LG4 B12 LG/4,K#101010 LG#289C18 B#2C2C80,#2C2C80|#289C18|#101010,yes,224,B_one_independent_archive,tartans-authority
Caribou,caribou,W/4 WR16 K4 LB12 K4 N16 RB4 N16 K4 LB12 K4 LG16 LB4 LG16 K4 LB12 K4 WR16 W/4,K#101010 N#888888 LB#2888C4 LG#289C18 RB#1C0070 W#E0E0E0 WR#680028,#E0E0E0|#680028|#101010|#2888C4|#888888|#1C0070|#289C18,yes,336,A_two_plus_independent_archives,weddslist; tartans-authority
Carlisle (Family),carlisle-family,FSB/128 MY60 K12 MY24 DR12 MY24 FSB132 MY24 DR12 MY24 K12 MY/60,FSB#3474FC DR#880000 MY#C88C00 K#000000,#3474FC|#C88C00|#000000|#880000,yes,860,C_dual_register_scrape,
Carlisle Ancient,carlisle-ancient,FSB/44 MY8 DR4 MY8 DR/4,DR#880000 FSB#2474E8 MY#D09800,#2474E8|#D09800|#880000,yes,88,A_two_plus_independent_archives,weddslist; tartans-authority
"Carlow, County",carlow-county,K/6 G4 K48 G16 ET4 G4 ET4 G4 ET/40,G#006818 K#101010 DG#003820 ET#4C0000,#101010|#006818|#4C0000|#003820,yes,214,B_one_independent_archive,tartans-authority
Carmichael,carmichael,K/10 G64 B64 R6 B6 Y/6,K#000000 R#C80000 Y#E8C000 B#2C2C80 G#006818,#000000|#006818|#2C2C80|#C80000|#E8C000,yes,296,C_dual_register_scrape,
Carnegie,carnegie,B/18 R6 B6 R12 B36 R6 K36 G36 R12 G6 R6 G12 Y/6,K#101010 B#2C2C80 G#006818 R#C80000 Y#E8C000,#2C2C80|#C80000|#101010|#006818|#E8C000,yes,372,B_one_independent_archive,tartans-authority
Carnegie #2,carnegie-2,B/20 R4 B4 R8 B24 R4 K28 W26 R8 W4 R4 W8 R2 Y/6,B#2C4084 R#DC0000 K#101010 W#E0E0E0 Y#E8C000,#2C4084|#DC0000|#101010|#E0E0E0|#E8C000,yes,274,C_dual_register_scrape,
Carnegie #3,carnegie-3,K/7 R9 G17 R11 G17 B50 G17 R/33,K#101010 R#DC0000 G#005020 B#2C4084,#101010|#DC0000|#005020|#2C4084,yes,282,C_dual_register_scrape,
Carnegie Check,carnegie-check,CT/12 KK2 SW2 KK2 SW2 KK2 SW2 KK2 SW2 KK2 SW4 KK4 SW4 KK4 SW4 KK4 SW/4,CT#502814 KK#000000 SW#B0B0B0,#502814|#000000|#B0B0B0,yes,100,C_dual_register_scrape,
Carnegie Dress,carnegie-dress,W/16 R4 W4 R12 W26 R4 K26 G26 R12 G4 R4 G8 Y/6,W#E0E0E0 R#DC0000 K#101010 G#005020 Y#E8C000,#E0E0E0|#DC0000|#101010|#005020|#E8C000,yes,282,B_one_independent_archive,weddslist
Carnegie of Skibo,carnegie-of-skibo,W/6 DB10 LB4 DB18 P20 K4 P10 K4 DG16 G58 W/4,K#101010 DB#202060 DG#003820 G#006818 LB#2888C4 P#780078 W#E0E0E0,#E0E0E0|#202060|#2888C4|#780078|#101010|#003820|#006818,yes,298,B_one_independent_archive,tartans-authority
Carnet,carnet,G/8 DT4 G44 DT12 G12 DT24 G12 DT12 G44 DT/4,G#004C00 DT#381C0C,#004C00|#381C0C,yes,340,C_dual_register_scrape,
"Carolina University, Western",carolina-university-western,DG/2 K4 P54 K4 DY/2,K#101010 DG#003820 DY#E8C000 P#780078,#003820|#101010|#780078|#E8C000,yes,128,C_dual_register_scrape,
"Carolina, States of",carolina-states-of,R/64 A28 K32 Y6 K8 W8 K8 R2 G56 R26 K8 R8 W/4,K#101010 Y#C4BC68 G#5C6428 R#A00000 A#5C8CA8 W#FCFCFC,#A00000|#5C8CA8|#101010|#C4BC68|#FCFCFC|#5C6428,yes,448,B_one_independent_archive,tartans-authority
Carrick,carrick,R/56 DB24 R6 G40 ER2 G4 ER2 G4 R/14,ER#981C70 DB#202060 R#C80000 G#006818,#C80000|#202060|#006818|#981C70,yes,234,A_two_plus_independent_archives,weddslist; tartans-authority
Carrick High School,carrick-high-school,K/4 B36 K6 A12 K32 Y4 K/12,B#00008C Y#C88C00 K#000000 A#788CB4,#000000|#00008C|#788CB4|#C88C00,yes,196,C_dual_register_scrape,
Carrick Hunting (Personal),carrick-hunting-personal,WG/52 P4 WG4 P4 WG12 BL20 K16 Y/8,K#101010 P#780078 Y#E8C000 BL#1474B4 WG#408060,#408060|#780078|#1474B4|#101010|#E8C000,yes,180,C_dual_register_scrape,
Carroll O'Reed,carroll-oreed,SW/4 DR8 KK4 DR8 GG8 KK2 SW2 KK2 DR2 DG8 LB2 DG/56,SW#B0B0B0 DR#880000 KK#000000 GG#007C00 LB#3474FC DG#004C00,#B0B0B0|#880000|#000000|#007C00|#004C00|#3474FC,yes,152,B_one_independent_archive,tartans-authority
Carsaig,carsaig,SW/12 DR3 SW3 DDB4 SW16 LT3 SW3 LT3 SW3 LT16 DDB52 SW/4,SW#ACACAC DR#880000 DDB#000048 LT#B07430,#ACACAC|#880000|#000048|#B07430,yes,228,B_one_independent_archive,tartans-authority
Carson Red (Personal),carson-red-personal,A/38 R4 A6 R4 A6 K86 R44 G/6,R#C80000 K#101010 G#006818 A#446C84,#446C84|#C80000|#101010|#006818,yes,344,B_one_independent_archive,tartans-authority
Carson of Rusco (Personal),carson-of-rusco-personal,NB/72 ER4 K6 LN4 K16 LN4 K6 ER4 DG22 G12 DG8 G8 DG/40,K#101010 ER#981C70 DG#003820 G#006818 LN#C0C0C0 NB#003C64,#003C64|#981C70|#101010|#C0C0C0|#003820|#006818,yes,300,B_one_independent_archive,tartans-authority
Carstairs,carstairs,GO/8 W4 G6 W8 B20 K4 B56 K4 B10 K4 B16 W4 GO4 G/10,K#101010 GO#BC8C00 W#E0E0E0 G#006818 B#2C2C80,#BC8C00|#E0E0E0|#006818|#2C2C80|#101010,yes,298,B_one_independent_archive,tartans-authority
"Cartier, Sir George Etienne",cartier-sir-george-etienne,DDB/8 DT12 SS6 DT20 AGG28 DC12 DDB36 DC12 AGG8 DC/4,DDB#880000 DT#002C04 SS#9C8000 AGG#000000 DC#306084,#880000|#002C04|#9C8000|#000000|#306084,yes,280,C_dual_register_scrape,
Cascade Summers,cascade-summers,BJ/6 LG26 BRR6 G12 BJ6 K20 W4 K20 BJ6 BRR22 LB26 K/6,BJ#3C8CFC G#007800 BRR#B45050 K#000000 W#C8C8C8 LB#3474FC LG#3CC83C,#3C8CFC|#3CC83C|#B45050|#007800|#000000|#C8C8C8|#3474FC,yes,308,B_one_independent_archive,tartans-authority
Casely,casely,R/16 G44 K44 G8 B44 OG/12,OG#446428 B#506878 G#30644C K#101010 R#C80000,#C80000|#30644C|#101010|#506878|#446428,yes,308,A_two_plus_independent_archives,weddslist; tartans-authority
