name,slug,threadcount,palette,symmetric,thread_total,sources_verifying,verified_by,colour_agreement,primary_source,dissenting_sources,origin_url,stwr_ref,sta_ref,designer,tartan_date,register_category,restrictions,seo_search_volume
Baird Dress,baird-dress,B/8 K8 B46 K24 G20 K2 W46 P4 W4 P/8,P#780078 PURPLE; W#E0E0E0 WHITE; G#006818 GREEN; K#101010 BLACK; B#2C2C80 BLUE;,yes,324,4,Scottish Register of Tartans; Scottish Tartans Authority; House of Tartan; Weddslist,4/4,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=170,233,233,,01/01/2002,Clan; Family,,
Bruce Hunting,bruce-hunting,W/6 K2 G38 R8 G6 R22 G10 R22 G6 R8 G38 K2 Y/6,K#101010 BLACK; R#C80000 RED; Y#D8B000 TAN YELLOW; W#FFFFFF WHITE; G#006818 GREEN;,yes,336,4,Scottish Register of Tartans; Scottish Tartans Authority; House of Tartan; Weddslist,3/4,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=402,1816,1816,Unknown,01/01/1939,Clan; Family,,
Bruce of Kinnaird,bruce-of-kinnaird,XR/48 WG44 K4 CW12 K4 YT4 K30 AA12 CLR12 CW/4,XR#C80000 BASIC RED; K#101010 BLACK; CW#FCFCFC CLEAR; YT#D8B000 TAN YELLOW; AA#789484 ANC AZURE; WG#408060 WTHRD GREEN; CLR#E87878 CORAL;,yes,296,4,Scottish Register of Tartans; Scottish Tartans Authority; House of Tartan; Weddslist,2/4,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=403,1483,1483,Wilsons of Bannockburn,01/01/1819,Clan; Family,,
Buchanan Dress,buchanan-dress,A/6 T68 K4 N8 K4 Y14 K4 Y14 K4 N8 K4 W68 R/6,A#3C82AF BLUE; T#503C14 BROWN; K#101010 BLACK; N#808080 MISSING COLOUR; Y#E8C000 YELLOW; W#E0E0E0 WHITE; R#DC0000 RED;,yes,412,4,Scottish Register of Tartans; Scottish Tartans Authority; House of Tartan; Weddslist,1/4,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=423,608,,Unknown,,Clan; Family,,
Buchanan Dress Blue (Dance),buchanan-dress-blue-dance,DR/6 WW66 RB32 WW10 RB32 WW/10,DR#880000 DARK RED; RB#1C0070 ROYAL BLUE; WW#F8F8F8 WILSON WHITE;,yes,296,4,Scottish Register of Tartans; Scottish Tartans Authority; House of Tartan; Weddslist,2/4,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=424,1672,1672,"Macpherson, Hugh",01/01/1983,Fashion,,
Chisholm of Strathglass,chisholm-of-strathglass,R/8 AG24 BL6 AG6 BL6 AG6 BL12 R72 WW4 R/14,K#101010 BLACK; AG#003820 ANCIENT GREEN; R#C80000 RED; WW#FCFCFC WILSON WHITE; BL#2C2C80 BALMORAL BLUE;,yes,294,4,Scottish Register of Tartans; Scottish Tartans Authority; House of Tartan; Weddslist,2/4,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=642,1455,1455,,01/01/1880,Clan; Family,,
Cockburn of Ormiston Dress,cockburn-of-ormiston-dress,R/4 K4 G16 K4 Y4 K4 B16 K4 WW4 K4 B16 G4 K4 G4 K4 WW/62,K#101010 BLACK; B#2C2C80 BLUE; G#006818 GREEN; R#C80000 RED; WW#FCFCFC WILSON WHITE; Y#E8C000 YELLOW;,yes,250,4,Scottish Register of Tartans; Scottish Tartans Authority; House of Tartan; Weddslist,4/4,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=705,1579,1579,,01/01/1930,Clan; Family,,
Common Kilt,common-kilt,WB/4 WS2 K4 WG50 K56 WB50 K4 WS/6,WB#000048 BLUE; WS#C80000 SCARLET; WG#044028 GREEN; K#000000 BLACK;,yes,342,4,Scottish Register of Tartans; Scottish Tartans Authority; House of Tartan; Weddslist,2/4,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=720,554,554,Wilsons of Bannockburn,01/01/1819,Fashion,,
Cunningham Dress,cunningham-dress,WW/10 R4 WW68 R68 K4 R4 RB/8,K#101010 BLACK; RB#1C0070 ROYAL BLUE; R#C80000 RED; WW#F8F8F8 WILSON WHITE;,yes,314,4,Scottish Register of Tartans; Scottish Tartans Authority; House of Tartan; Weddslist,2/4,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=846,563,563,"Macpherson, Hugh",01/01/1986,Clan; Family,,
Dunlop,dunlop,K/6 R2 K60 W2 B56 R2 B2 W/6,K#101010 BLACK; W#E0E0E0 WHITE; B#2C2C80 BLUE; R#C80000 RED;,yes,260,4,Scottish Register of Tartans; Scottish Tartans Authority; House of Tartan; Weddslist,4/4,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=1045,1197,1197,,01/01/1982,Clan; Family,,
Edinburgh District,edinburgh-district,K/4 DR6 G20 R10 DR6 R6 DR6 B50 W/6,K#101010 BLACK; DR#980044 DARK RED; R#C80000 RED; G#006818 GREEN; B#1474B4 BLUE; W#FFFFFF WHITE;,yes,218,4,Scottish Register of Tartans; Scottish Tartans Authority; House of Tartan; Weddslist,2/4,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=1074,1163,1163,"MacPherson, Hugh",01/01/1970,District,,
Erskine Green,erskine-green,G/12 W4 G58 W58 G4 W/12,G#005020 MOD GREEN; W#E0E0E0 WHITE;,yes,272,4,Scottish Register of Tartans; Scottish Tartans Authority; House of Tartan; Weddslist,4/4,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=1126,941,,,,Clan; Family,,
Fraser Gathering Dress (1997),fraser-gathering-dress-1997,G/4 W48 G4 RB10 DG8 G22 DG4 RB24 XR/4,RB#1C0070 ROYAL BLUE; DG#003820 DARK GREEN; XR#C80000 BASIC RED; G#006818 GREEN; W#E0E0E0 WHITE;,yes,248,4,Scottish Register of Tartans; Scottish Tartans Authority; House of Tartan; Weddslist,1/4,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=1254,2362,2362,Wittering/Lady Saltoun,01/05/1997,Commemorative,,
Inverary,inverary,OG/20 K2 RB26 K6 LN18 MY/6,RB#1C0070 ROYAL BLUE; OG#5C6428 OLIVE GREEN; DR#880000 DARK RED; MY#D09800 M YELLOW; K#101010 BLACK; LN#C0C0C0 LIGHT GRAY;,yes,130,4,Scottish Register of Tartans; Scottish Tartans Authority; House of Tartan; Weddslist,2/4,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=1838,772,772,,01/01/2002,District,,
Loch Garth,loch-garth,DT/48 TK24 DT8 MY/4,DT#441800 DARK BROWN; TK#8C7038 KHAKI; MY#D09800 M YELLOW;,yes,116,4,Scottish Register of Tartans; Scottish Tartans Authority; House of Tartan; Weddslist,1/4,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=2145,1750,1750,,01/01/2002,Fashion,,
MacCorquodale,maccorquodale,LB/8 K8 A48 K48 LB56 K8 R/14,A#5C8CA8 AZURE; K#101010 BLACK; R#C80000 RED; LB#2888C4 LIGHT BLUE;,yes,358,4,Scottish Register of Tartans; Scottish Tartans Authority; House of Tartan; Weddslist,2/4,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=2326,283,283,,01/01/1981,Clan; Family,,
MacCoul,maccoul,AS/8 R72 DP2 R4 DG24 R24 DG24 AS12 R4 AS12 DP24 R8 DG4 R8 DG4 R4 AS4 R/24,AS#CC4438 ANC SCARLET; DG#003820 DARK GREEN; DP#440044 DARK PURPLE; R#C80000 RED;,yes,500,4,Scottish Register of Tartans; Scottish Tartans Authority; House of Tartan; Weddslist,2/4,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=2327,1635,1635,,01/01/1850,Clan; Family,,
MacLennan,maclennan,R/12 B6 R4 B4 R4 B32 K24 G32 R2 K2 Y/4,K#101010 BLACK; B#2C2C80 BLUE; G#285800 GREEN; R#C80000 RED; Y#E8C000 YELLOW;,yes,236,4,Scottish Register of Tartans; Scottish Tartans Authority; House of Tartan; Weddslist,4/4,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=2625,1429,1429,Unknown,01/01/1880,Clan; Family,,
MacLeod Red,macleod-red,B/8 R2 B2 R4 B22 R4 B2 R2 Y2 R2 B2 R32 B16 R8 G8 R32 G22 R16 B8 R4 Y/4,R#C80000 RED; Y#E8C000 YELLOW; G#006818 GREEN; B#2C2C80 BLUE;,yes,392,4,Scottish Register of Tartans; Scottish Tartans Authority; House of Tartan; Weddslist,2/4,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=2643,496,496,"MacLeod, Ruaridh",01/01/1980,Clan; Family,,
MacLulich,maclulich,B/66 R16 K24 DY4 K8 W8 K8 G24 B16 K8 B8 W/4,K#101010 BLACK; B#2C2C80 BLUE; DY#E8C000 GOLD; G#006818 GREEN; R#C80000 RED; W#E0E0E0 WHITE;,yes,318,4,Scottish Register of Tartans; Scottish Tartans Authority; House of Tartan; Weddslist,4/4,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=2651,558,558,,01/01/2002,Name,,
MacNaughton Dress,macnaughton-dress,R/4 B4 W52 HG50 K28 B26 W52 B4 R/4,K#101010 BLACK; B#343494 BLUE; HG#347800 HUNTING GREEN; R#C80000 RED; W#E0E0E0 WHITE;,yes,440,4,Scottish Register of Tartans; Scottish Tartans Authority; House of Tartan; Weddslist,4/4,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=2677,1434,1434,"Murray, Jim I",01/01/1987,Clan; Family,,
MacNeil Dress,macneil-dress,BL/36 K26 G36 Y8 G36 K26 W8 BL8 W36 BL8 W8 BL8 W36 BL8 W8 K26 BL36 W/8,K#101010 BLACK; B#2C2C80 BLUE; W#E0E0E0 WHITE; Y#E8C000 YELLOW; G#006818 GREEN; BL#1474B4 BALMORAL BLUE;,yes,688,4,Scottish Register of Tartans; Scottish Tartans Authority; House of Tartan; Weddslist,2/4,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=2685,1974,1974,Unknown,01/01/1830,Clan; Family,,
MacPherson Dress Green (Dance),macpherson-dress-green-dance,W/10 R6 W52 G40 W6 G16 Y/6,G#006818 GREEN; R#C80000 RED; W#E0E0E0 WHITE; Y#E8C000 YELLOW;,yes,256,4,Scottish Register of Tartans; Scottish Tartans Authority; House of Tartan; Weddslist,4/4,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=2718,1870,1870,"MacPherson, Hugh",01/01/1980,Fashion,,
"Melieres, Michel (Personal)",melieres-michel-personal,K/4 R2 G16 R6 G6 R28 Y2 R2 W/4,K#101010 BLACK; G#006818 GREEN; R#C80000 RED; W#E0E0E0 WHITE; Y#E8C000 YELLOW;,yes,132,4,Scottish Register of Tartans; Scottish Tartans Authority; House of Tartan; Weddslist,4/4,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=2912,1168,1168,"Melieres, Michel",01/01/1966,Name,,
Rankine,rankine,B/30 K2 B2 K2 B2 K24 G18 R2 G18 K2 W2 K2 G18 R2 G18 K24 R2 B18 R4 B2 R2 B12 W/2,K#101010 BLACK; B#2C2C80 BLUE; G#006818 GREEN; R#C80000 RED; W#E0E0E0 WHITE;,yes,388,4,Scottish Register of Tartans; Scottish Tartans Authority; House of Tartan; Weddslist,4/4,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=3462,292,292,,01/01/1822,Clan; Family,,
Ailsa Craig,ailsa-craig,R/10 WW4 N40 DY4 K32 WW36 K4 WW/10,K#101010 BLACK; DY#E8C000 YELLOW; DN#5C5C5C DARK GREY; W#E0E0E0 WHITE; XR#C80000 BASIC RED; N#888888 GRAY; R#C80000 RED; WW#F8F8F8 WILSON WHITE;,yes,260,3,Scottish Register of Tartans; Scottish Tartans Authority; Weddslist,1/3,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=27,1673,1673,"Robertson, Miss Ailean",01/01/1972,Fashion,,
Akins Clan (Personal),akins-clan-personal,LB/6 G44 DB38 M6 C6 M6 C6 M/42,LB#87CEFA LIGHT BLUE; G#008000 GREEN; DB#00008B DARK BLUE; M#800000 MAROON; C#DC143C CRIMSON;,yes,260,3,Scottish Register of Tartans; Scottish Tartans Authority; Weddslist,1/3,Scottish Register of Tartans,House of Tartan,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=33,2426,2426,,01/01/1820,Clan; Family,,
Alexander Hunting (Personal),alexander-hunting-personal,B/24 R4 B8 R8 K30 B8 G8 B4 G/24,K#101010 BLACK; B#2C2C80 BLUE; G#006818 GREEN; R#C80000 RED;,yes,188,3,Scottish Register of Tartans; Scottish Tartans Authority; Weddslist,3/3,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=46,411,411,"MacDonald, Peter",01/01/2002,Clan; Family,Yes. For the personal use of Mr TL Alexander.,
Anderson Dress,anderson-dress,R/4 G8 R4 G8 R2 K4 Y4 K4 Y2 W4 Y2 K4 Y2 W24 R4 W10 R/6,R#DC0000 RED; G#005020 MOD GREEN; K#101010 BLACK; Y#E8C000 YELLOW; W#E0E0E0 WHITE;,yes,182,3,Scottish Register of Tartans; House of Tartan; Weddslist,3/3,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=84,1514,,,,Clan; Family,,
Anderson Old (Makinlay),anderson-old-makinlay,R/16 A32 K2 R8 K2 A104 W16 K2 Y4 K8 Y4 K28 R4 A28 G32 K2 R8 K2 G32 R/16,R#DC0000 RED; A#3C82AF BLUE; K#101010 BLACK; W#E0E0E0 WHITE; Y#E8C000 YELLOW; G#005020 MOD GREEN;,yes,668,3,Scottish Register of Tartans; House of Tartan; Weddslist,3/3,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=87,1347,,,01/01/1940,Clan; Family,,
Anne Arundel County,anne-arundel-county,G/8 NB14 B66 K18 DO4 K18 N20 R/8,G#006818 GREEN; NB#003C64 NAVY BLUE; B#2C2C80 BLUE; DO#B84C00 DARK ORANGE; K#101010 BLACK; N#888888 GREY; R#C80000 BASIC RED;,yes,296,3,Scottish Register of Tartans; Scottish Tartans Authority; Weddslist,1/3,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=93,2453,2453,"Lumsden, Keith",16/02/1998,District,,
Antarctic,antarctic,A/2 W76 N4 W4 N11 O11 DY7 K11 W4 A11 RB32 W/2,A#5C8CA8 AZURE; K#101010 BLACK; DY#E8C000 GOLD; N#888888 GREY; O#D87C00 ORANGE; RB#1C0070 ROYAL BLUE; W#E0E0E0 WHITE; G#006818 GREEN;,yes,346,3,Scottish Register of Tartans; Scottish Tartans Authority; Weddslist,1/3,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=94,2701,2701,"Jones, Rosalind",01/01/1999,Corporate,,
Arkansas,arkansas,G/8 K12 G12 S24 G48 WW4 G/12,K#101010 BLACK; HG#285800 HUNTING GREEN; S#C8002C SCARLET; WW#FCFCFC WILSON WHITE; G#006818 GREEN; LG#289C18 LIGHT GREEN;,yes,220,3,Scottish Register of Tartans; Scottish Tartans Authority; Weddslist,3/3,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=112,2678,2678,"Smith Jnr, Dr Philip D",01/01/1998,District,,
Armstrong,armstrong,G/4 K2 G60 K24 B4 K2 B2 K2 B24 R/6,K#101010 BLACK; DB#202060 DARK BLUE; DG#003820 DARK GREEN; R#C80000 RED; G#006818 GREEN; B#2C2C80 BLUE;,yes,250,3,Scottish Register of Tartans; Scottish Tartans Authority; House of Tartan,3/3,Scottish Register of Tartans,Weddslist,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=115,793,793,"Sobieski Stewarts, The",01/01/1842,Clan; Family,,
Atikokan,atikokan,W/8 LG12 LT12 R12 LN12 LB64 Y/24,LB#0596FA LIGHT BLUE; R#DC0000 RED; Y#E8C000 YELLOW; W#E0E0E0 WHITE; LG#309C18 GREEN; LN#C0C0C0 LIGHT GREY; LT#BE7832 BROWN;,yes,256,3,Scottish Register of Tartans; Scottish Tartans Authority; Weddslist,1/3,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=126,2596,,,01/01/1981,Commemorative,,
Auchairne Grey,auchairne-grey,N/8 DN8 N112 XR8 N6 XR/26,XR#C80000 BASIC RED; DN#5C5C5C DARK GREY; N#888888 GREY;,yes,302,3,Scottish Register of Tartans; Scottish Tartans Authority; Weddslist,3/3,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=130,2479,2479,"McDonnell, Ian J.",01/01/1998,Corporate,,
Aviemore Check,aviemore-check,G/4 T20 G22 DY8 T2 W36 G4 T/2,T#604000 BROWN; DY#E8C000 GOLD; G#006818 GREEN; W#E0E0E0 WHITE;,yes,190,3,Scottish Register of Tartans; Scottish Tartans Authority; Weddslist,1/3,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=148,912,912,"Thompson, Mrs P J",01/01/1975,Fashion,,
Bailey Atlanta National,bailey-atlanta-national,DB/26 K4 DB4 K4 DB4 B26 G26 K4 G6 K4 G26 K26 G26 K4 DB/6,K#101010 BLACK; B#2C2C80 BLUE; DB#202060 DARK BLUE; G#006818 GREEN;,yes,360,3,Scottish Register of Tartans; Scottish Tartans Authority; Weddslist,3/3,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=160,2589,2589,"Warren, Marjorie",01/01/1999,Corporate,,
Baker,baker,DB/112 FG12 LN4 FG12 DB16 LN8 P4 LN/20,DB#202060 DARK BLUE; FG#A07C58 FADED GREEN; LN#F8F4D0 LIGHT GRAY; WR#680028 WINE RED; DR#880000 DARK RED; P#780078 PURPLE; T#604000 BROWN;,yes,244,3,Scottish Register of Tartans; Scottish Tartans Authority; Weddslist,1/3,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=171,613,613,West Coast Woolen Mill,01/01/1986,Fashion,,
Barbecue Plaid (Fashion),barbecue-plaid-fashion,Y/4 K4 R4 WW16 K28 R2 K2 R2 K2 R/2,Y#E8C000; WW#FCFCFC; K#000000; R#C80000;,yes,126,3,Scottish Tartans Authority; House of Tartan; Weddslist,3/3,Scottish Tartans Authority,Scottish Register of Tartans,http://www.tartansauthority.com/tartan-ferret/display/1607/,,,,,,,
Bavidge (Personal),bavidge-personal,B/92 K14 B18 BL5 B5 BL5 B5 G32 P16 K5 P7 Y/8,K#101010 BLACK; B#2C2C80 BLUE; DB#202060 DARK BLUE; DG#003820 DARK GREEN; DP#440044 DARK PURPLE; Y#E8C000 YELLOW; P#780078 PURPLE; G#005028 GREEN; BL#1860A8 BALMORAL BLUE;,yes,324,3,Scottish Register of Tartans; Scottish Tartans Authority; Weddslist,1/3,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=230,2488,2488,"King, Michael",01/01/1998,Name,,
Bermuda Blue,bermuda-blue,RB/6 FSB6 ZR4 FSB8 G19 FSB6 RB11 FSB6 ZR6 FSB42 RB4 ZR4 FSB/12,FSB#3474FC LIGHT BLUE; ZR#B00000 SCARLET; RB#000064 NAVY; G#004C00 DARK GRN;,yes,250,3,Scottish Register of Tartans; Scottish Tartans Authority; Weddslist,1/3,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=253,2156,2156,"Vesey Jnr, Mr N H P",01/01/1965,District,,
Bermuda Plaid (1962),bermuda-plaid-1962,A/16 B4 A16 G24 B24 R16 A/66,A#5C8CA8 AZURE; B#2C2C80 BLUE; G#006818 GREEN; R#C80000 RED;,yes,250,3,Scottish Register of Tartans; Scottish Tartans Authority; Weddslist,3/3,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=254,696,696,"MacArthur & Co, Peter",01/01/1962,District,,
Birse,birse,K/8 AG32 K28 GO6 BL32 R/8,GO#BC8C00 DARK GOLD; A#5C8CA8 AZURE; AA#789484 WTHRED BLUE; K#101010 BLACK; Y#F0C800 YELLOW; AG#00643C ANC GREEN; BL#105880 BALMORAL BLUE; R#C80000 RED;,yes,212,3,Scottish Register of Tartans; Scottish Tartans Authority; Weddslist,1/3,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=265,1087,1087,,01/01/1957,Name,,
Biskup (Personal),biskup-personal,B/24 R8 B36 R4 K38 G36 R8 G6 Y4 G/16,B#00008C BLUE; G#007800 GREEN; R#8C0000 RED; Y#C88C00 YELLOW; K#000000 BLACK;,yes,320,3,Scottish Register of Tartans; Scottish Tartans Authority; Weddslist,1/3,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=267,2574,2574,House of Edgar - Macnaughton Holdings Ltd.,01/01/1998,Name,,
Black Watch Dress (Asymmetrical),black-watch-dress-asymmetrical,B20 K4 B4 K4 B20 K18 G22 K6 G22 K20 W6 B8 W30 B4 W8 B4 W30 B8 W6 K20 B20 K4 B4 K4 B20,B#202060 BLUE; K#101010 BLACK; G#006818 GREEN; W#FFFFFF WHITE;,no,316,3,Scottish Register of Tartans; House of Tartan; Weddslist,2/3,Scottish Register of Tartans,Scottish Tartans Authority,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=281,1965,,Unknown,,Military,,
Bon Accord,bon-accord,R/6 NB50 R6 NB6 R34 CW6 R/12,CW#FFFFFF CLEAR; NB#003C64 NAVY BLUE; R#C80000 RED;,yes,222,3,Scottish Register of Tartans; Scottish Tartans Authority; Weddslist,1/3,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=307,2229,2229,"King, Michael",01/01/1995,District,,
"Border Reiver, The",border-reiver-the,XR/8 K4 XR20 K20 XR8 K4 XR4 K4 XR8 K20 XR/20,K#101010 BLACK; XR#C80000 BASIC RED; AA#789484 ANC AZURE; CC#EC34C4 ALAZARIN;,yes,212,3,Scottish Register of Tartans; Scottish Tartans Authority; Weddslist,3/3,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=312,2471,2471,McKerrell of Hillhouse & Madam McKerrell,01/01/1998,District,,
Boucherville,boucherville,BL/12 N4 LG4 N4 LG4 WW8 N10 Y4 LG/40,K#101010 BLACK; B#2C2C80 BLUE; W#FFFFFF WHITE; Y#E8C000 YELLOW; LG#289C18 LIGHT GREEN; N#888888 GREY; WW#FCFCFC WILSON WHITE; BL#1474B4 BALMORAL BLUE;,yes,128,3,Scottish Register of Tartans; Scottish Tartans Authority; Weddslist,1/3,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=319,2119,2119,Blanchette/Bastien/Provost,01/01/1990,District,,
Bowie (Dalgety),bowie-dalgety,DB/16 XR4 DB6 XR8 DB26 CW4 T26 CW4 HG26 XR8 HG8 MY4 HG/16,DB#000048 BLUE; HG#184800 HUNTING GREEN; T#784C18 MEDIUM BROWN; XR#F03000 GOV CRIMSON; MY#C88C00 YELLOW; HG#184800 HUNTING GREEN; CW#FCFCFC BRIGHT WHITE; CW#FCFCFC BRIGHT WHITE; WW#F8F8F8 WILSON WHITE; G#006818 GREEN; R#C80000 RED;,yes,280,3,Scottish Register of Tartans; Scottish Tartans Authority; Weddslist,1/3,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=322,434,434,,01/01/1980,Name,,
Brabender,brabender,G/6 B42 K6 B6 K24 XR6 G24 K/6,XR#C80000 BASIC RED; K#101010 BLACK; B#2C2C80 BLUE; G#006818 GREEN;,yes,228,3,Scottish Register of Tartans; Scottish Tartans Authority; Weddslist,3/3,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=329,2639,2639,"Hinnigan, Brian",03/02/1999,Name,,
Brinkie's Brae (Personal),brinkie-s-brae-personal,K/6 CW8 K6 XR36 B2 N36 K2 G36 CW2 B36 XR2 N36 G2 XR36 K6 CW8 K/6,G#006818 GREEN; N#888888 GREY; B#2C2C80 BLUE; XR#C80000 BASIC RED; CW#FCFCFC WILSON WHITE; K#101010 BLACK;,yes,520,3,Scottish Register of Tartans; Scottish Tartans Authority; Weddslist,3/3,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=354,2572,2572,"Johnston, Graham Ross",01/01/1999,Name,,
Bristow Helicopters,bristow-helicopters,B/56 K2 WW2 B4 K2 R4 K2 B4 WW2 K2 B30 K32 B6 K/32,R#C80000 BASIC RED; WW#FCFCFC WILSON WHITE; K#101010 BLACK; B#2C2C80 BLUE;,yes,272,3,Scottish Register of Tartans; Scottish Tartans Authority; Weddslist,3/3,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=356,2401,2401,Seafield of Scotland,01/09/1997,Corporate,,
British Columbia,british-columbia,G/8 K4 G16 LB16 Y4 LB16 LDR16 K4 LDR16 LB8 LDR16 W/4,K#101010 BLACK; HG#285800 HUNTING GREEN; LB#9CACB8 LIGHT BLUE; LDR#A00024 SCARLETT; W#E0E0E0 WHITE; Y#E8C000 YELLOW; LRB#4078A4 BALMORAL BLUE; B#2C2C80 BLUE; G#006818 GREEN;,yes,244,3,Scottish Register of Tartans; Scottish Tartans Authority; Weddslist,1/3,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=361,808,808,"Ward, Earl K",01/01/1967,District,,
Brodie Silver,brodie-silver,R/6 LN40 N40 DN40 Y4 DN40 R/6,DN#5C5C5C DARK GREY; N#888888 GREY; LN#C0C0C0 LIGHT GRAY; R#C80000 RED;,yes,340,3,Scottish Register of Tartans; House of Tartan; Weddslist,2/3,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=373,1630,1630,Unknown,01/01/1984,Fashion,,
Brown Watch Dress,brown-watch-dress,LT/6 DT6 LT20 DT18 CW2 DT6 CW20 DT18 LT6 DT6 LT6 DT6 LT/40,CW#FCFCFC CLEAR; DT#441800 DARK BROWN; LT#A08858 LIGHT BROWN;,yes,274,3,Scottish Register of Tartans; Scottish Tartans Authority; Weddslist,1/3,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=393,1746,1746,Scott Brothers of Hawick,01/01/2002,Fashion,,
Bruce Old,bruce-old,G/30 R4 G4 R40 B4 R4 B15 R4 B4 R4 G48 R4 B4 R/45,G#005020 MOD GREEN; R#DC0000 RED; B#2C4084 BLUE;,yes,353,3,Scottish Register of Tartans; House of Tartan; Weddslist,2/3,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=405,876,876,Unknown,,Clan; Family,,
Buccleuch,buccleuch,R/14 G51 R5 P41 R5 K9 R/107,K#000000 BLACK; P#780078 PURPLE; G#006818 GREEN; R#C80000 RED;,yes,343,3,Scottish Register of Tartans; Scottish Tartans Authority; Weddslist,1/3,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=411,1505,1505,Wilsons of Bannockburn,01/01/1831,Clan; Family,,
